jd,filter,mag,magerr,source,note
2459640.82892,U,16.4385,0.0237,8,1m009
2459640.83268,U,16.4336,0.0219,8,1m009
2459641.70522,U,16.8311,0.0219,533,1m014
2459641.70899,U,16.848,0.0209,533,1m014
2459642.68341,U,16.9253,0.019,533,1m014
2459642.68719,U,15.9648,0.0306,533,1m014
2459642.94687,U,16.8786,0.0518,7,1m008
2459642.95066,U,16.8619,0.0489,7,1m008
2459644.24638,U,16.6178,0.0256,11,1m003
2459644.25017,U,16.5921,0.0237,11,1m003
2459644.81242,U,16.6235,0.0246,9,1m005
2459644.8162,U,16.6647,0.0228,9,1m005
2459645.8753,U,16.8986,0.0228,8,1m009
2459645.87907,U,16.8802,0.0228,8,1m009
2459646.8071,U,16.7874,0.0265,8,1m009
2459646.811,U,16.8,0.0275,8,1m009
2459647.59037,U,16.8443,0.0371,4,1m012
2459647.59415,U,16.8324,0.0381,4,1m012
2459648.19678,U,16.6052,0.0284,5,1m011
2459648.20057,U,16.602,0.0303,5,1m011
2459648.84482,U,17.0447,0.0284,9,1m005
2459648.8486,U,17.0617,0.0313,9,1m005
2459651.67733,U,17.4694,0.0342,532,1m001
2459651.68112,U,17.5164,0.0284,532,1m001
2459654.58171,U,17.4336,0.0707,4,1m0-12
2459654.58549,U,17.3927,0.0707,4,1m0-12
2459656.63981,U,17.8806,0.0936,533,1m0-14
2459656.64359,U,17.7702,0.0916,533,1m0-14
2459659.60339,U,17.7815,0.1655,4,1m0-12
2459659.60717,U,17.911,0.1715,4,1m0-12
2459662.88131,U,18.3486,0.1345,8,1m009
2459662.88509,U,18.392,0.1325,8,1m009
2459665.8788,U,18.7807,0.1614,10,1m004
2459665.88258,U,18.5665,0.1305,10,1m004
2459674.87804,U,19.1385,0.1755,8,1m009
2459674.88182,U,19.3422,0.2124,8,1m009
2459681.52618,U,18.7812,0.3912,533,1m0-14
2459686.58368,U,20.2741,0.4501,532,1m001
2459686.58749,U,19.8289,0.3871,532,1m001
2459687.80525,U,19.9348,0.5064,7,1m008
2459694.80176,U,20.5937,0.4255,7,1m008
2459694.80556,U,19.9714,0.3097,7,1m008
2459640.83668,B,17.2212,0.0121,8,1m009
2459640.83931,B,17.2323,0.0113,8,1m009
2459640.84216,V,17.4694,0.015,8,1m009
2459640.84385,V,17.481,0.0141,8,1m009
2459640.84575,g,17.1343,0.009,8,1m009
2459640.84837,g,17.1241,0.0097,8,1m009
2459640.85119,r,17.5738,0.0224,8,1m009
2459640.85288,r,17.5698,0.0207,8,1m009
2459640.85477,i,17.7064,0.041,8,1m009
2459640.85645,i,17.7426,0.0348,8,1m009
2459641.71298,B,17.5018,0.0105,533,1m0-14
2459641.71559,B,17.5223,0.0105,533,1m0-14
2459641.7184,V,17.5555,0.0159,533,1m0-14
2459641.72009,V,17.5889,0.015,533,1m0-14
2459641.72198,g,17.3532,0.0089,533,1m0-14
2459641.7246,g,17.3441,0.0096,533,1m0-14
2459641.72739,r,17.6533,0.0181,533,1m0-14
2459641.72909,r,17.6646,0.0216,533,1m0-14
2459641.73096,i,17.7579,0.0331,533,1m0-14
2459641.73266,i,17.76,0.034,533,1m0-14
2459642.95462,B,17.598,0.0357,7,1m008
2459642.95724,B,17.5525,0.0327,7,1m008
2459642.96005,V,17.5082,0.0309,7,1m008
2459642.96174,V,17.5778,0.0338,7,1m008
2459642.96366,g,17.3342,0.0157,7,1m008
2459642.96629,g,17.3013,0.025,7,1m008
2459642.9691,r,17.6089,0.0289,7,1m008
2459642.9708,r,17.6312,0.0365,7,1m008
2459642.97267,i,17.5779,0.0635,7,1m008
2459642.97437,i,17.748,0.054,7,1m008
2459644.25417,B,17.5523,0.0105,11,1m003
2459644.25679,B,17.5458,0.0113,11,1m003
2459644.2596,V,17.4543,0.0177,11,1m003
2459644.2613,V,17.4735,0.0177,11,1m003
2459644.26318,g,17.3352,0.009,11,1m003
2459644.26581,g,17.3924,0.0097,11,1m003
2459644.26862,r,17.5311,0.016,11,1m003
2459644.82019,B,17.3472,0.0147,9,1m005
2459644.82281,B,17.346,0.0147,9,1m005
2459644.82562,V,17.4174,0.0186,9,1m005
2459644.82732,V,17.4512,0.0186,9,1m005
2459644.82921,g,17.1976,0.0129,9,1m005
2459644.83184,g,17.2168,0.0121,9,1m005
2459644.83465,r,17.4781,0.0261,9,1m005
2459644.83634,r,17.4903,0.0233,9,1m005
2459644.83822,i,17.6069,0.0331,9,1m005
2459644.83993,i,17.6081,0.0366,9,1m005
2459645.88303,B,17.4305,0.0121,8,1m009
2459645.88567,B,17.4241,0.0113,8,1m009
2459645.88848,V,17.4888,0.0159,8,1m009
2459645.89017,V,17.5112,0.0133,8,1m009
2459645.89207,g,17.2635,0.0096,8,1m009
2459645.89469,g,17.2573,0.0112,8,1m009
2459645.89749,r,17.4987,0.0198,8,1m009
2459645.89918,r,17.5029,0.0207,8,1m009
2459645.90105,i,17.6061,0.0549,8,1m009
2459645.90274,i,17.5692,0.0438,8,1m009
2459646.815,B,17.4094,0.0129,8,1m009
2459646.81762,B,17.4182,0.0129,8,1m009
2459646.82238,V,17.4784,0.0133,8,1m009
2459646.82425,g,17.2521,0.0104,8,1m009
2459646.82687,g,17.2653,0.0097,8,1m009
2459646.82968,r,17.4826,0.0207,8,1m009
2459646.83137,r,17.4897,0.0207,8,1m009
2459646.83326,i,17.5478,0.034,8,1m009
2459646.835,i,17.5111,0.0331,8,1m009
2459647.59814,B,17.5295,0.0269,4,1m0-12
2459647.60076,B,17.5402,0.0259,4,1m0-12
2459647.60363,V,17.4399,0.0242,4,1m0-12
2459647.60534,V,17.4049,0.0213,4,1m0-12
2459647.60721,g,17.3107,0.0183,4,1m0-12
2459647.60983,g,17.2966,0.0165,4,1m0-12
2459647.61264,r,17.4847,0.0243,4,1m0-12
2459647.61435,r,17.4843,0.0243,4,1m0-12
2459647.61622,i,17.4701,0.0438,4,1m0-12
2459647.61792,i,17.4583,0.053,4,1m0-12
2459648.2053,B,17.5428,0.0121,5,1m0-11
2459648.20792,B,17.5104,0.0129,5,1m0-11
2459648.21074,V,17.4139,0.0177,5,1m0-11
2459648.21244,V,17.4004,0.0177,5,1m0-11
2459648.21455,g,17.335,0.0104,5,1m0-11
2459648.21722,g,17.3191,0.0096,5,1m0-11
2459648.22011,r,17.3955,0.0173,5,1m0-11
2459648.22233,r,17.4078,0.019,5,1m0-11
2459648.22423,i,17.4107,0.0323,5,1m0-11
2459648.22612,i,17.3379,0.1006,5,1m0-11
2459648.85257,B,17.5551,0.0129,9,1m005
2459648.85519,B,17.5639,0.0129,9,1m005
2459648.85801,V,17.4834,0.0159,9,1m005
2459648.8597,V,17.4931,0.0168,9,1m005
2459648.86159,g,17.3281,0.0183,9,1m005
2459648.86421,g,17.3638,0.0113,9,1m005
2459648.86703,r,17.4697,0.0242,9,1m005
2459648.86873,r,17.4761,0.0233,9,1m005
2459648.87061,i,17.5067,0.0306,9,1m005
2459648.8723,i,17.5258,0.0306,9,1m005
2459651.6851,B,17.8579,0.0138,532,1m001
2459651.68772,B,17.8553,0.0121,532,1m001
2459651.69054,V,17.682,0.0186,532,1m001
2459651.69223,V,17.6845,0.0168,532,1m001
2459651.69411,g,17.6278,0.012,532,1m001
2459651.69673,g,17.6077,0.012,532,1m001
2459651.69952,r,17.6215,0.0198,532,1m001
2459651.70122,r,17.6228,0.0173,532,1m001
2459651.70309,i,17.5188,0.0267,532,1m001
2459651.70479,i,17.5499,0.034,532,1m001
2459654.58946,B,17.9399,0.0416,4,1m0-12
2459654.59208,B,17.8961,0.0445,4,1m0-12
2459654.59489,V,17.6446,0.0319,4,1m0-12
2459654.59659,V,17.6684,0.0338,4,1m0-12
2459654.59847,g,17.5885,0.026,4,1m0-12
2459654.60109,g,17.628,0.0241,4,1m0-12
2459654.60389,r,17.5592,0.0279,4,1m0-12
2459654.60558,r,17.5726,0.0279,4,1m0-12
2459654.60746,i,17.5064,0.0512,4,1m0-12
2459654.60915,i,17.4796,0.0447,4,1m0-12
2459656.64758,B,18.0883,0.0564,533,1m0-14
2459656.6502,B,18.1276,0.0554,533,1m0-14
2459656.65301,V,17.8431,0.0456,533,1m0-14
2459656.65471,V,17.8308,0.0387,533,1m0-14
2459656.65659,g,17.806,0.0389,533,1m0-14
2459656.65921,g,17.8264,0.0409,533,1m0-14
2459656.66201,r,17.7601,0.053,533,1m0-14
2459656.66372,r,17.7725,0.0442,533,1m0-14
2459656.66561,i,17.6042,0.0549,533,1m0-14
2459656.6673,i,17.6793,0.0384,533,1m0-14
2459659.61115,B,18.1453,0.0793,4,1m0-12
2459659.61377,B,18.1868,0.0783,4,1m0-12
2459659.61656,V,17.8168,0.0823,4,1m0-12
2459659.61827,V,17.7589,0.0744,4,1m0-12
2459659.62015,g,17.834,0.0608,4,1m0-12
2459659.62277,g,17.8301,0.0441,4,1m0-12
2459659.62557,r,17.6048,0.0708,4,1m0-12
2459659.62726,r,17.6587,0.0658,4,1m0-12
2459659.62914,i,17.5812,0.0742,4,1m0-12
2459659.63084,i,17.5911,0.0849,4,1m0-12
2459662.88905,B,18.3652,0.0604,8,1m009
2459662.89167,B,18.3692,0.0475,8,1m009
2459662.89451,V,18.123,0.0575,8,1m009
2459662.8962,V,18.0926,0.0545,8,1m009
2459662.89809,g,18.0387,0.0498,8,1m009
2459662.90071,g,17.9627,0.0488,8,1m009
2459662.90352,r,17.8532,0.0462,8,1m009
2459662.9052,r,17.7748,0.056,8,1m009
2459662.90708,i,17.9199,0.0703,8,1m009
2459662.90878,i,17.9208,0.0693,8,1m009
2459665.88656,B,18.5089,0.0366,10,1m004
2459665.88917,B,18.4856,0.0376,10,1m004
2459665.89197,V,18.1951,0.0309,10,1m004
2459665.89367,V,18.1887,0.0319,10,1m004
2459665.89554,g,18.1865,0.0213,10,1m004
2459665.89816,g,18.1893,0.0213,10,1m004
2459665.90097,r,17.9767,0.0336,10,1m004
2459665.90267,r,18.0113,0.0336,10,1m004
2459665.90455,i,17.922,0.0549,10,1m004
2459665.90624,i,17.9039,0.0531,10,1m004
2459674.88595,B,18.8315,0.0376,8,1m009
2459674.88858,B,18.8409,0.0357,8,1m009
2459674.89144,V,18.3684,0.0242,8,1m009
2459674.89332,V,18.3684,0.0261,8,1m009
2459674.89521,g,18.4626,0.0212,8,1m009
2459674.89783,g,18.4592,0.0231,8,1m009
2459674.90066,r,18.0725,0.0252,8,1m009
2459674.90234,r,18.1077,0.0234,8,1m009
2459674.90423,i,18.0941,0.0484,8,1m009
2459674.906,i,18.086,0.0568,8,1m009
2459681.53015,B,19.1923,0.1342,533,1m0-14
2459681.53915,g,18.881,0.1136,533,1m0-14
2459681.54176,g,18.7642,0.0514,533,1m0-14
2459681.54457,r,18.2613,0.1324,533,1m0-14
2459681.54625,r,18.2253,0.0787,533,1m0-14
2459681.54816,i,18.238,0.0937,533,1m0-14
2459681.54985,i,18.0985,0.1055,533,1m0-14
2459687.813,B,20.0109,0.2191,7,1m008
2459687.81565,B,19.718,0.1662,7,1m008
2459687.81846,V,18.6953,0.1083,7,1m008
2459687.82017,V,18.7541,0.1163,7,1m008
2459687.82203,g,19.0543,0.0898,7,1m008
2459687.82466,g,19.1148,0.0868,7,1m008
2459687.82748,r,18.4207,0.0777,7,1m008
2459687.82917,r,18.4042,0.0757,7,1m008
2459687.83105,i,18.1557,0.0839,7,1m008
2459687.83275,i,18.2109,0.0869,7,1m008
2459694.80954,B,19.7475,0.0723,7,1m008
2459694.81216,B,19.7361,0.0733,7,1m008
2459694.81497,V,18.6884,0.0446,7,1m008
2459694.81668,V,18.756,0.0436,7,1m008
2459694.81857,g,19.1101,0.0311,7,1m008
2459694.8212,g,19.0893,0.0311,7,1m008
2459694.82401,r,18.3118,0.0336,7,1m008
2459694.82759,i,18.297,0.0664,7,1m008
2459694.82928,i,18.2772,0.0664,7,1m008
2459700.81665,B,19.7573,0.0963,10,1m004
2459700.81926,B,19.8617,0.0992,10,1m004
2459700.82206,V,18.7341,0.0387,10,1m004
2459700.82375,V,18.7423,0.0427,10,1m004
2459700.82561,g,19.1842,0.0437,10,1m004
2459700.82823,g,19.2068,0.0398,10,1m004
2459700.83103,r,18.3074,0.0346,10,1m004
2459700.83272,r,18.2896,0.0355,10,1m004
2459700.83459,i,18.2967,0.0607,10,1m004
2459700.83627,i,18.2595,0.0578,10,1m004
2459706.79899,B,19.9913,0.1042,8,1m009
2459706.80161,B,19.9237,0.0903,8,1m009
2459706.80445,V,18.9391,0.0486,8,1m009
2459706.80614,V,18.8893,0.0407,8,1m009
2459706.80803,g,19.3065,0.0388,8,1m009
2459706.81065,g,19.3071,0.0378,8,1m009
2459706.81347,r,18.3956,0.0327,8,1m009
2459706.81516,r,18.2688,0.0317,8,1m009
2459706.81708,i,18.205,0.0607,8,1m009
2459706.81877,i,18.3019,0.0645,8,1m009
